# Колода: lesson — слова с занятий
# формат: слово | перевод | /транскрипция/ | пример EN | пример RU

# --- базовая лексика ---
how | как, каким образом | /haʊ/ | How have you managed to finish so fast? | Как тебе удалось закончить так быстро?
power | сила, власть | /ˈpaʊə/ | Knowledge is power. | Знание — сила.
weakness | слабость | /ˈwiːknəs/ | Sweets are my main weakness. | Сладкое — моя главная слабость.
few | несколько, мало | /fjuː/ | I have a few questions. | У меня есть несколько вопросов.
special | особенный, специальный | /ˈspeʃl/ | Today is a special day. | Сегодня особенный день.
hurt | ранить, причинять боль | /hɜːt/ | I have hurt my knee. | Я повредил колено.
with | с, вместе с | /wɪð/ | Come with me. | Пойдём со мной.
without | без | /wɪˈðaʊt/ | I cannot work without coffee. | Я не могу работать без кофе.
each | каждый (из группы) | /iːtʃ/ | Each student has a task. | У каждого студента своё задание.
manage | управлять, руководить; суметь | /ˈmænɪdʒ/ | She manages a small team. | Она руководит небольшой командой.
decision | решение | /dɪˈsɪʒn/ | I have made my decision. | Я принял решение.
active | активный | /ˈæktɪv/ | He is very active at work. | Он очень активен на работе.
design | дизайн; проектировать | /dɪˈzaɪn/ | The design looks modern. | Дизайн выглядит современно.
after | после | /ˈɑːftə/ | We will talk after lunch. | Поговорим после обеда.
up | вверх | /ʌp/ | Look up, the sky is clear. | Посмотри вверх, небо чистое.
down | вниз | /daʊn/ | The prices have gone down. | Цены пошли вниз.
importance | важность | /ɪmˈpɔːtns/ | Do not underestimate the importance of sleep. | Не недооценивай важность сна.
currently | в настоящее время | /ˈkʌrəntli/ | I am currently learning English. | Сейчас я изучаю английский.
competition | соревнование, конкуренция | /ˌkɒmpəˈtɪʃn/ | She has won the competition. | Она выиграла соревнование.
whenever | когда бы ни, всякий раз когда | /wenˈevə/ | Call me whenever you need help. | Звони, когда бы тебе ни понадобилась помощь.
health | здоровье | /helθ/ | Health is more important than money. | Здоровье важнее денег.
any | любой, какой-нибудь | /ˈeni/ | Take any book you like. | Возьми любую книгу.
however | однако, тем не менее | /haʊˈevə/ | However, nothing has changed. | Тем не менее ничего не изменилось.
every | каждый | /ˈevri/ | I check email every morning. | Я проверяю почту каждое утро.
near | возле, около | /nɪə/ | There is a park near my house. | Возле моего дома есть парк.
closer | ближе | /ˈkləʊsə/ | Come closer, please. | Подойди ближе, пожалуйста.
quick | быстрый | /kwɪk/ | Let us have a quick lunch. | Давай быстро пообедаем.
called | названный, под названием | /kɔːld/ | We watched a film called Heat. | Мы смотрели фильм под названием Heat.
thousands | тысячи | /ˈθaʊzndz/ | Thousands of people came. | Пришли тысячи людей.
totally | полностью, абсолютно | /ˈtəʊtəli/ | I totally agree with you. | Я полностью с тобой согласен.
during | во время, в течение | /ˈdjʊərɪŋ/ | We met during the holidays. | Мы познакомились во время каникул.
unfortunately | к сожалению | /ʌnˈfɔːtʃənətli/ | Unfortunately, the shop was closed. | К сожалению, магазин был закрыт.
would | бы (вспомогательный глагол) | /wʊd/ | I would like some tea. | Я бы хотел чаю.

# --- стороны света ---
east | восток | /iːst/ | The sun rises in the east. | Солнце встаёт на востоке.
west | запад | /west/ | They live in the west of the country. | Они живут на западе страны.
north | север | /nɔːθ/ | The wind comes from the north. | Ветер дует с севера.
south | юг | /saʊθ/ | Birds fly south in autumn. | Осенью птицы летят на юг.

# --- поездки и впечатления ---
distance | расстояние | /ˈdɪstəns/ | The distance is about ten kilometres. | Расстояние примерно десять километров.
impressions | впечатления | /ɪmˈpreʃnz/ | My impressions of the trip are great. | Мои впечатления от поездки отличные.
hike | поход, прогулка пешком | /haɪk/ | We have been on a hike in the mountains. | Мы сходили в поход в горы.
exploring | исследование, изучение | /ɪkˈsplɔːrɪŋ/ | We spent the day exploring the old town. | Мы провели день, исследуя старый город.
unforgettable | незабываемый | /ˌʌnfəˈɡetəbl/ | It was an unforgettable evening. | Это был незабываемый вечер.
familiar | знакомый | /fəˈmɪliə/ | Your face looks familiar. | Твоё лицо кажется знакомым.
somewhere | где-то, куда-то | /ˈsʌmweə/ | Let us go somewhere quiet. | Давай пойдём куда-нибудь потише.
quiet | тихий | /ˈkwaɪət/ | The street is quiet at night. | Ночью улица тихая.
